start_time,end_time,
25.703329,45.16392,
69.595699,85.840987,
123.42583,126.800549,
134.410936,139.169225,
159.845565,164.153305,
175.947261,181.889927,
206.497988,209.408596,
219.687308,222.160103,
247.60821,253.175881,
275.348034,279.310549,
286.30988,290.28477,
312.725892,321.586309,
537.196618,557.888802,
575.456878,578.952559,
584.625113,597.424904,
622.41062,632.525728,
654.959679,657.881431,
660.859219,670.907221,
690.77971,694.522405,
703.127742,713.873158,
770.344767,779.462189,
800.051257,807.812922,
878.409671,887.699727,
910.163203,915.716427,
939.70675,944.859886,
954.003897,957.529687,
967.274002,977.60131,
1000.455971,1006.456361,
1034.724837,1038.598196,
1051.571727,1059.451529,
1086.174856,1090.353409,
1095.743849,1105.96887,
1128.405369,1131.231813,
1136.112447,1141.94234,
1167.766104,1171.438606,
1190.304711,1193.108152,
1198.916938,1203.036502,
1226.594285,1232.257235,
1335.730083,1341.821974,
1373.436751,1381.017927,
1413.346222,1417.131061,
1427.839759,1433.915229,
1461.26926,1465.160559,
1479.810914,1483.300201,
1491.645222,1495.174972,
1525.135417,1530.969971,
1551.209642,1555.072642,
1563.096635,1570.901356,
1593.967088,1597.716571,
1606.973353,1610.648629,
1615.341987,1619.420295,
1662.534585,1674.126626,
1689.78486,1693.884119,
1706.955255,1710.944213,
1718.232799,1722.285778,
