start_time,end_time,
21.992296,27.404093,
45.6171,50.070592,
74.725864,78.08319,
83.686471,95.088677,
115.364011,118.429239,
123.626224,130.894483,
147.914515,170.057434,
190.240047,196.085154,
212.3114,217.607082,
230.640276,240.573033,
322.076712,348.821955,
364.216594,368.920622,
374.215187,391.740168,
406.857192,412.62928,
419.555079,433.797703,
454.459925,460.524592,
464.956675,477.49277,
504.117016,513.407848,
527.231357,540.273359,
579.485214,582.397267,
595.079982,598.533876,
603.135092,606.305009,
631.345719,636.535189,
646.196638,658.288143,
676.497331,679.901226,
699.029368,703.497443,
846.552266,850.865249,
863.104469,872.529417,
890.577384,902.819725,
916.342574,922.730984,
928.697495,939.633524,
958.051448,963.380252,
977.173341,982.844052,
993.802271,1008.511569,
1035.492179,1038.741784,
1042.443904,1046.405178,
1067.822367,1072.078493,
1090.74203,1093.681843,
1098.026722,1112.048599,
1138.443975,1145.348903,
1162.153102,1165.713848,
1170.055333,1181.691564,
1313.119859,1332.563261,
1355.325808,1360.364455,
1366.981504,1371.476056,
1393.280064,1399.612595,
1414.540659,1418.975337,
1434.415474,1440.760757,
1447.405894,1464.24454,
1487.107167,1513.323945,
1532.674378,1553.043084,
1566.628128,1578.450268,
1596.017825,1601.03931,
1605.889384,1611.282185,
1634.885188,1651.83245,
1673.24417,1684.43074,
1698.791766,1704.759959,
1709.865066,1715.557748,
1750.253705,1761.95284,
1785.886873,1793.777359,
1805.364217,1808.359607,
1814.026554,1818.901328,
1840.897499,1843.936078,
1856.3159,1862.455141,
1885.165477,1889.323804,
1894.150465,1908.065361,
1935.740114,1938.711438,
1942.184118,1944.947477,
2073.069969,2099.773533,
2115.698058,2119.190726,
2133.627574,2158.35273,
2186.408056,2223.692225,
2244.23173,2249.797872,
2261.612251,2266.076015,
2280.284549,2297.952479,
2321.855357,2325.95867,
2332.173807,2339.523868,
2361.43297,2367.817449,
2388.305053,2396.334518,
